id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
11,โน้ตบุ๊คดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED ต่อจอเพิ่มได้กี่จอครับ อยากต่อ 2 จอ 4K ทำงานออกแบบ,ต่อได้ 3 จอ 4K พร้อมกัน ผ่าน Thunderbolt 4 และ HDMI,ต่อได้แค่ 1 จอ 4K ผ่าน HDMI 2.1 เท่านั้น เพราะ ProBook 14 Max มี Thunderbolt 4 แค่ 1 พอร์ต,ต่อได้ 2 จอพร้อมกัน แต่ความละเอียดสูงสุดแค่ 1080p ต่อจอ ผ่าน Thunderbolt 4 และ HDMI 2.1,ต่อจอ 4K ได้ 2 จอพร้อมกัน หรือจอ 8K ได้ 1 จอ ผ่านพอร์ต Thunderbolt 4 สองพอร์ต,ต่อจอภายนอกไม่ได้เนื่องจากเป็น GPU Integrated ที่ใช้ชิปเซ็ต D2 Max ไม่มี discrete GPU สำหรับจอนอก,ต่อได้ 2 จอ 4K แต่ต้องซื้อ Dock Pro เพิ่ม ไม่สามารถต่อตรงได้,ต่อได้ 2 จอ 4K ผ่าน USB-A 3.2 Gen2 สองพอร์ต ที่รองรับ DisplayPort Alternate Mode,ต่อได้สูงสุด 1 จอ 8K หรือ 2 จอ 1440p เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
12,จะซื้อโน้ตบุ๊คเล่น Genshin Impact ลื่นๆ กราฟิกสูงๆ มีรุ่นไหนตอบโจทย์บ้าง แล้วได้กี่ FPS,StormBook G7 ใช้ GPU StormForce GX-4070 8GB ได้ 80-120 FPS ที่ 1080p กราฟิก High-Ultra,StormBook G5 ใช้ GPU StormForce GX-4060 ได้ 60-90 FPS ที่ 1080p กราฟิก Medium-High,StormBook G9 Titan ใช้ GPU StormForce GX-4090 ได้ 144+ FPS ที่ 4K Ultra,CreatorBook 16 OLED ใช้ GPU Integrated ได้ 30-50 FPS ที่ 1080p กราฟิก Medium,AirBook 15 เหมาะสำหรับ Genshin Impact ที่กราฟิก Medium ได้ 60 FPS,StormBook G7 ใช้ GPU StormForce GX-3060 4GB ได้ 40-60 FPS ที่ 1080p,ProBook 16 เหมาะเล่น Genshin ได้ 120 FPS ที่ 4K Ultra,StudyBook 14 Plus เล่น Genshin ได้ที่กราฟิก Low-Medium ประมาณ 30 FPS,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
13,ทำงานในคาเฟ่เสียงดังมากเลย ต้องการหูฟังครอบหูที่ตัดเสียงรบกวนได้ดี แล้วก็ใช้สายโทรศัพท์ชัดๆ ด้วย มีรุ่นไหนแนะนำบ้างคะ,เฮดออน 700 มี ANC แต่ไม่รองรับ Multipoint ต่อได้แค่ 1 เครื่อง,"เฮดออน 300 มี ANC ราคา 2,490 บาท Bluetooth 5.1 แบต 50 ชม. และไมโครโฟนสำหรับโทรศัพท์ได้ชัดเจน",บัดส์ Z5 Pro มี ANC ไมโครโฟน 6 ตัว ใช้โทรศัพท์ได้ชัดเจน,"เฮดโปร X1 มี ANC แต่ไม่มีไมโครโฟนในตัว ต้องซื้อไมโครโฟน Beamforming แยกในราคา 1,990 บาท",สตูดิโอโปร M1 มี ANC ระดับสตูดิโอ ไดรเวอร์ 50 มม. เหมาะสำหรับงาน Production แต่ไม่มี Multipoint,เฮดโปร X1 มี ANC ตัดเสียงรบกวนจากร้านกาแฟได้ดี มีไมโครโฟน Beamforming 4 ตัว สำหรับสายโทรศัพท์ที่ชัด,เฮดโปร X1 มี ANC แต่แบตเตอรี่อยู่ได้แค่ 10 ชม. เมื่อเปิด ANC,เกมสตอร์ม H1 มี ANC สำหรับเกมเมอร์ ใช้ในคาเฟ่ได้ดี พร้อมไมโครโฟน Boom Mic แบต 25 ชม.,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
14,ซื้อสายฟ้า X9 Pro มา อยากทราบว่าหัวชาร์จ 67W มาในกล่องด้วยเลยหรือต้องซื้อแยกคะ,หัวชาร์จ 100W GaN Dual Port มาในกล่อง X9 Pro สามารถชาร์จเต็มได้ใน 35 นาที พร้อมสาย USB-C to USB-C 1 เมตร,หัวชาร์จ 67W มาในกล่อง X9 Pro ทุกรุ่นทุกสี พร้อมสาย USB-C to Lightning,"หัวชาร์จ 67W ต้องซื้อแยกทุกรุ่น ราคา 1,290 บาท (JC-CH-001) ไม่รวมสาย ต้องซื้อสาย USB-C แยก",หัวชาร์จ 67W มาในกล่อง X9 Pro พร้อมสาย USB-C แต่ชาร์จเจอร์ที่ซื้อแยก (JC-CH-001) ไม่รวมสายในกล่อง,หัวชาร์จ 67W มาในกล่อง X9 Pro แต่ต้องลงทะเบียนออนไลน์ก่อนถึงจะใช้ได้,หัวชาร์จ 45W มาในกล่อง X9 Pro พร้อมสาย USB-C ความยาว 1.5 เมตร,หัวชาร์จไม่มีในกล่อง X9 Pro ต้องใช้ชาร์จเจอร์ 30W (JC-CH-003) ที่ซื้อแยก,หัวชาร์จ 67W มาในกล่อง X9 Pro ชาร์จเต็มใน 55 นาที พร้อมระบบ AI Charge Management,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
15,อยากฟังเพลง Lossless จาก streaming ได้คุณภาพดีๆ มีหูฟังครอบหูรุ่นไหนที่รองรับ LDAC บ้างคะ,คลื่นเสียง บัดส์ Z5 Pro รองรับ LDAC codec (990 kbps) ผ่าน Bluetooth 5.3 มาตรฐาน Hi-Res Audio,คลื่นเสียง เฮดออน 500 รองรับ LDAC codec สำหรับ Lossless streaming ผ่าน Bluetooth 5.2,"คลื่นเสียง เฮดออน 300 รองรับ AAC และ SBC codec ผ่าน Bluetooth 5.1 ราคา 2,490 บาท","คลื่นเสียง เฮดออน 700 รองรับ LDAC และ Hi-Res Audio พร้อม ANC ราคา 8,990 บาท",คลื่นเสียง เฮดโปร X1 รองรับ aptX HD ที่ให้คุณภาพเทียบเท่า Lossless แบตเตอรี่ 30 ชม.,ทุกรุ่นของคลื่นเสียงที่เป็นหูฟังครอบหูรองรับ LDAC ผ่าน Bluetooth 5.3,คลื่นเสียง เฮดโปร X1 รองรับ LDAC (990 kbps) Hi-Res Audio ผ่าน Bluetooth 5.3 เป็นหูฟังครอบหู,"NovaTech NovaBuds Pro รองรับ LDAC Hi-Res Audio เป็นหูฟังครอบหูราคา 5,990 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
16,อยากได้นาฬิกาที่วัดคลื่นหัวใจ ECG ได้ มีรุ่นไหนบ้างคะ แล้ว Watch S3 ตัวธรรมดามี ECG มั้ย,"Watch S3 ตัวธรรมดาไม่มี ECG ต้องเลือก Watch S3 Pro (9,990 บาท) หรือ Watch S3 Ultra (14,990 บาท) ที่มี ECG","Watch S3 ทุกรุ่นรวมถึงตัวธรรมดา (5,990 บาท) มี ECG ทั้งหมด วัดคลื่นไฟฟ้าหัวใจได้จากข้อมือ","มีแค่ Watch S3 Ultra (14,990 บาท) รุ่นเดียวที่มี ECG พร้อม Dive Mode ส่วน S3 Pro ไม่มี ECG","Watch S3 Pro (9,990 บาท) มี ECG แต่ Watch S3 Ultra (14,990 บาท) ไม่มี ECG เพราะเน้น Dive Mode 40 เมตร",Watch S3 ตัวธรรมดามี ECG ในตัวอยู่แล้ว แต่ต้องอัปเดตซอฟต์แวร์เป็น WongKhoJon OS 3.1 ก่อน,"Watch Sport G1 มี ECG Running Dynamics และ GPS Multi-Band (L1+L5) ราคา 11,990 บาท","Watch S3 SE มี ECG ในราคาประหยัด 3,990 บาท พร้อม HR, SpO2 และ Connected GPS ผ่านโทรศัพท์","Band 8 Pro มี ECG ราคา 2,490 บาท เหมาะสำหรับวัดสุขภาพหัวใจ",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
17,มองหาโน้ตบุ๊คเอาไว้ตัดต่อวิดีโอ 4K ครับ อยากได้จอสีแม่น แล้วก็พอร์ตอ่าน SD card ความเร็วสูงด้วย,"ดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED จอ OLED 4K Pantone Validated DCI-P3 100% มี SD Card UHS-II แต่ RAM แค่ 16GB อาจไม่พอตัดต่อ 4K ราคา 54,990 บาท","ดาวเหนือ โปรบุ๊ก 16 จอ mini-LED 3.5K DCI-P3 98% ความสว่างพีค 1,000 nit มี SD Card UHS-II พร้อม Thunderbolt 4 สองพอร์ต ราคา 59,990 บาท","ดาวเหนือ สตอร์มบุ๊ก G7 จอ IPS 16 นิ้ว 144Hz sRGB 100% พร้อม GPU StormForce GX-4070 RAM 16GB DDR5 SSD 1TB ราคา 44,990 บาท","ดาวเหนือ ครีเอเตอร์บุ๊ก 14 จอ OLED 2.8K DCI-P3 100% Delta E < 2 มี SD Card UHS-II พร้อม Thunderbolt 4 สองพอร์ต ราคา 39,990 บาท","ดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED จอ OLED 4K DCI-P3 100% Pantone Validated แต่ไม่มีพอร์ต SD Card ราคา 54,990 บาท","ดาวเหนือ แอร์บุ๊ก 15 จอ IPS 2K sRGB 100% มี SD Card Reader น้ำหนัก 1.3 กก. แบตเตอรี่ 18 ชม. พร้อม Thunderbolt 4 ราคา 35,990 บาท","NovaTech SlimBook 14 จอ IPS 2K sRGB 100% มี SD Card Reader น้ำหนัก 1.2 กก. พร้อม Thunderbolt 4 ราคา 27,990 บาท","ดาวเหนือ ครีเอเตอร์บุ๊ก 16 OLED จอ OLED 4K Pantone Validated DCI-P3 100% Delta E < 1 มี SD Card UHS-II RAM 32GB DDR5 ราคา 54,990 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
18,จะไปเที่ยวญี่ปุ่นช่วงสงกรานต์ หัวชาร์จ 67W ที่ซื้อไว้เอาไปใช้ที่ญี่ปุ่นได้มั้ยครับ ไฟฟ้าต่างกัน,ไม่แนะนำ เพราะจะทำให้ประกัน 6 เดือนของชาร์จเจอร์เป็นโมฆะหากใช้กับไฟฟ้าต่างประเทศ,ใช้ไม่ได้ หัวชาร์จ GaN 67W รองรับเฉพาะไฟ 220V 50Hz ของไทย ต้องซื้อรุ่น International แยก,ใช้ได้ แต่ต้องซื้อ Voltage Converter แยก เพราะญี่ปุ่นใช้ไฟ 100V,ใช้ได้ รองรับ 110-220V แต่ความเร็วชาร์จจะลดลงเหลือ 30W เมื่อใช้ไฟต่ำกว่า 200V ในญี่ปุ่น,ใช้ได้ รองรับไฟฟ้า 100-240V AC 50/60Hz ใช้ได้ทั่วโลก แต่อาจต้องใช้ปลั๊กแปลงหัวตามแต่ละประเทศ,ใช้ได้ เพราะฟ้าใหม่มีบริการจัดส่งต่างประเทศ ส่งหัวชาร์จไปญี่ปุ่นได้,ใช้ไม่ได้ต้องซื้อหัวชาร์จรุ่น International Version แยกต่างหาก,ใช้ได้ รองรับ 100-240V แต่ต้องเป็นชาร์จเจอร์ 100W Dual เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
19,แม่อายุ 70 แล้วครับ อยากหามือถือที่ใช้ง่ายๆ ตัวหนังสือใหญ่ มีปุ่มขอความช่วยเหลือฉุกเฉินด้วย ใช้กับเครื่องช่วยฟังได้มั้ย,ไม่มีข้อมูลว่ารองรับเครื่องช่วยฟังหรือไม่ แต่มีมือถือ Senior Plus ตัวอักษรใหญ่และมีปุ่ม SOS,มือถือ Senior Plus รองรับเครื่องช่วยฟัง (M4/T4) มีตัวอักษรใหญ่ เมนูเรียบง่าย ปุ่ม SOS ฉุกเฉินส่งตำแหน่ง GPS ให้ผู้ดูแลได้ 3 คน,มือถือ Kid Safe มี UI เรียบง่าย ปุ่ม SOS ฉุกเฉิน แต่ออกแบบสำหรับเด็กอายุ 6-12 ปี ไม่ใช่ผู้สูงอายุ ไม่รองรับเครื่องช่วยฟัง,มือถือ Lite 3 ราคาประหยัด ตัวอักษรใหญ่ มีปุ่ม SOS แต่ไม่มี Hearing Aid Compatible และไม่มี GPS ส่งตำแหน่งให้ผู้ดูแล,มือถือ Senior Plus มีตัวอักษรใหญ่ แต่ไม่มีปุ่ม SOS ต้องโทรเองผ่านแอป,มือถือ V7 Lite มี UI Mode สำหรับผู้สูงอายุ รองรับเครื่องช่วยฟัง แต่ไม่มีปุ่ม SOS ฉุกเฉินเหมือน Senior Plus,"มือถือ Senior Plus มีทุกฟีเจอร์ที่ต้องการ (M4/T4, ปุ่ม SOS, ตัวอักษรใหญ่) แต่ราคา 5,990 บาท ไม่ใช่ 3,490 บาท","มือถือ Senior Plus รองรับเครื่องช่วยฟัง มีปุ่ม SOS แต่เป็น 5G ราคา 7,490 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
20,ซื้อนาฬิกาไว้วิ่งมาราธอน อยากได้ตัวที่แบตอึด GPS แม่นๆ แล้วก็วิเคราะห์ฟอร์มวิ่งได้ มีรุ่นไหนบ้างครับ,Watch S3 Pro มี GPS Single-Band แบต 48 ชม. ECG วัดคลื่นหัวใจ NFC Pay และ HRV วัดความเครียด,Watch Sport G1 มี GPS Multi-Band (L1+L5) แบต 30 ชม. โหมด GPS และ Running Dynamics วิเคราะห์ก้าววิ่ง,Watch S3 Ultra มี GPS Dual-Band แบต 72 ชม. และ Dive Mode,Watch S3 มี GPS Single-Band แบต 18 ชม. และโหมดกีฬา 100+ ประเภท,Band 8 Pro มี GPS Single-Band แบต 9 วัน (15 ชม. GPS) กันน้ำ 5 ATM แต่ไม่มี Running Dynamics,Watch S3 SE มี Connected GPS ผ่านโทรศัพท์ แบต 36 ชม. กันน้ำ 3 ATM ไม่มี Running Dynamics,Watch Sport G1 มี GPS Single-Band แบต 7 วัน VO2 Max และ Training Readiness Score สำหรับวัดความฟิต,Watch S3 Pro มี GPS Dual-Band แบต 14 วัน และ Running Dynamics,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
21,ลูกชาย 8 ขวบอยากได้แท็บเล็ตเรียนออนไลน์ ครับ อยากได้ตัวที่ตกไม่แตกง่าย แล้วก็จำกัดเวลาเล่นเกมได้,"สายฟ้า แท็บ S9 ราคา 22,990 บาท จอ AMOLED 11 นิ้ว มีระบบ Parental Control แต่ไม่มีเคสกันกระแทกในกล่อง","สายฟ้า แท็บ A5 WiFi ราคา 11,990 บาท จอ 10.5 นิ้ว มีโหมดเด็กในตัว แต่ไม่มีเคส rubber bumper","สายฟ้า แท็บ Kid ราคา 6,990 บาท มีเคส rubber bumper กันกระแทก และระบบ FahMai Kids Mode จำกัดเวลาใช้งานได้","สายฟ้า แท็บ Mini 7 ราคา 17,990 บาท จอ 8.3 นิ้ว ขนาดกะทัดรัดเหมาะมือเด็ก แต่ไม่มี Kids Mode ในตัว","สายฟ้า แท็บ Draw Pro ราคา 19,990 บาท มีปากกาวาดรูปให้เด็กเรียนรู้","สายฟ้า แท็บ Kid ราคา 6,990 บาท มีเคส rubber bumper แต่ไม่มีระบบจำกัดเวลา","สายฟ้า แท็บ Kid ราคา 4,990 บาท มีเคสกันกระแทกซิลิโคนและ Kids Mode","สายฟ้า แท็บ S8 Pro ราคา 24,990 บาท จอ AMOLED 12.9 นิ้ว รุ่นเก่า มาพร้อม FahMai Kids Mode แต่ราคาสูง",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
22,จอมือถือสายฟ้า X9 Pro แตกครับ ซ่อมได้มั้ย ถ้าซื้อ Care+ ไว้ ต้องจ่ายเพิ่มเท่าไหร่,จอแตกเคลมได้ผ่าน Care+ แต่ต้องส่งซ่อมภายใน 7 วัน หลังเกิดเหตุ,จอแตกครอบคลุมประกันปกติ 2 ปีจากสายฟ้า ซ่อมฟรีทุกกรณี ไม่ต้องซื้อ Care+ เพิ่มเติม,Care+ ครอบคลุมจอแตกได้เพียง 1 ครั้งต่อปี ลูกค้าจ่ายส่วนต่าง 30% ซื้อ Care+ ภายใน 30 วัน,จอแตกต้องซื้อจอใหม่ราคาเต็มเท่านั้น ไม่มีบริการซ่อมจอผ่านศูนย์บริการฟ้าใหม่ทั้ง 5 สาขา,Care+ ครอบคลุมจอแตก 2 ครั้งต่อปี ซ่อมฟรีไม่ต้องจ่ายส่วนต่าง,จอแตกไม่ครอบคลุมประกันปกติ แต่ถ้ามี Care+ ซ่อมได้สูงสุด 2 ครั้งต่อปี จ่ายส่วนต่าง 20% ของค่าซ่อม,Care+ ไม่ครอบคลุมจอแตก ครอบคลุมเฉพาะน้ำเข้า (1 ครั้ง/ปี ส่วนต่าง 30%) และแบตเสื่อมต่ำกว่า 80%,Care+ ครอบคลุมจอแตก 2 ครั้งต่อปี จ่ายส่วนต่าง 10% ของค่าซ่อม,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
23,Watch S3 กับ Watch S3 SE จอต่างกันยังไงคะ ใช้ AMOLED เหมือนกันไหม,"ทั้งสองรุ่นใช้จอ AMOLED เหมือนกัน ขนาด 1.7 นิ้ว ความสว่าง 1,000 nits ต่างกันแค่ราคา",Watch S3 ใช้จอ LCD TFT 360x360 พิกเซล ส่วน S3 SE ใช้ AMOLED 416x416 พิกเซล,Watch S3 ใช้จอ AMOLED ส่วน Watch S3 SE ใช้จอ LCD TFT ไม่เหมือนกัน,ทั้งสองรุ่นใช้จอ LCD TFT เหมือนกัน ขนาด 1.7 นิ้ว ความสว่าง 450 nits ต่างกันที่ GPS,Watch S3 ใช้จอ OLED ส่วน S3 SE ใช้จอ AMOLED,Watch S3 SE ใช้จอ Mini-LED ส่วน Watch S3 ใช้ AMOLED,ทั้งสองรุ่นใช้จอ IPS LCD ขนาด 1.7 นิ้ว ต่างกันแค่ความละเอียดและตัวเรือน,Watch S3 ใช้จอ Dynamic AMOLED ส่วน S3 SE ใช้ AMOLED ธรรมดา,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
